No.,ID,Vietnames_names,Province,final_lat,final_lon,Giai đoạn 1981-2000,Số năm,Giai đoạn 2011-2020,Số năm.1,elevation,distance_to_coast_km
185,ducpho,Đức Phổ,Quảng Ngãi,14.8,108.9667,1981-2000,20,2011-2017,7,24,4.240215525342889
186,ducxuyen,Đức Xuyên,Đắc Nông,12.3,107.98,1981-2000,20,2011-2020,10,542,128.3371317034866
187,p.eahdinh,Ea H'đing,Đăk Lăk,12.898,108.118,1981-2000,20,2011-2017,7,575,121.44893138638557
188,eahleo,EaHleo,Đắc Lắc,13.2167,108.2,,,2011-2020,10,621,113.71278669921725
189,eakmat,EaKmat,Đắc Lắk,12.68,108.14,,,2011-2020,10,540,113.05557869361982
190,eaknop,eaknop,Đắc Lắc,12.799,108.4518,1981-2000,20,2011-2017,7,481,83.66169900427285
191,easoup,Ea Sup,Đắk Lăk,13.066,107.885,1981-2000,20,2011-2017,7,195,150.6520272453723
192,ganhhao,Gành Hào,Bạc Liêu,9.037,105.398,1981-2000,20,2011-2020,10,13,3.944705843211527
193,p.luongtai,Gia Lương,Bắc Ninh,21.015,106.201,1981-2000,20,2011-2017,7,44,45.85369808177284
194,p.giangtv,Giàng,Thanh Hóa,19.882,105.757,1981-2000,20,2011-2020,10,8,16.69771591750999
195,giangson,Giang Sơn,Đăk Lăk,12.512,108.164,1981-2000,20,2011-2020,10,523,107.61087259619677
196,giaothuy,Giao Thuỷ,Quảng Nam,15.844,108.123,1981-2000,20,2011-2020,10,5,19.41265107694869
197,p.giaraibd,Giá Rai,Bạc Liêu,9.232,105.468,1981-2000,20,2011-2017,7,13,13.756564358058686
198,p.giavongtv,Gia Vòng,Quảng Trị,16.965,106.944,1981-2000,20,2011-2020,10,32,19.788904513854465
199,giavuc,Giá Vực,Quảng Ngãi,14.698,108.568,1981-2000,20,2011-2017,7,267,47.57589891983752
200,p.gionggieng,Giồng Riềng,Kiên Giang,9.898,105.318,1981-2000,20,2011-2017,7,4,22.657918794484804
201,p.giongtrom,Giồng Trôm,Bến Tre,10.237,106.45,1981-2000,20,2011-2017,7,11,5.871604831474611
